time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-07 00:00:00+00:00,1,1,13.0,3.0
2025-04-08 00:00:00+00:00,3,2,33.0,1.0
2025-04-09 00:00:00+00:00,1,1,3.0,2.0
2025-04-10 00:00:00+00:00,11,5,21.0,4.0
2025-04-11 00:00:00+00:00,5,2,,
2025-04-12 00:00:00+00:00,4,2,,
2025-04-13 00:00:00+00:00,3,2,,
2025-04-14 00:00:00+00:00,1,1,,
2025-04-15 00:00:00+00:00,5,2,5.0,4.0
2025-04-16 00:00:00+00:00,4,2,17.0,5.0
2025-04-17 00:00:00+00:00,2,2,16.0,3.0
2025-04-18 00:00:00+00:00,24,2,6.0,2.0
2025-04-19 00:00:00+00:00,4,2,,
2025-04-20 00:00:00+00:00,23,1,,
